,쿠카쿠,(주)쿠카쿠,2017-06-01,3년4개월,0,3 명
161,카페데코믹스(CAFE de COMICS),(주)두박,2014-12-01,5년10개월,6,3 명
162,뜰커피,카페앤테이크아웃,2018-06-25,2년4개월,6,1 명
163,부바스,서컴퍼니,2014-09-11,6년1개월,6,1 명
164,휘카페(Whicafe),(주)청호휘카페,2018-07-25,2년3개월,6,2 명
165,라스베이글,(주)애채,2015-10-26,5년0개월,6,5 명
166,글로리아진스커피,(주)글로리아진스커피코리아,2005-10-15,15년0개월,6,19 명
167,데일리에스프레소(Daily espresso),데일리에스프레소,2015-07-01,5년3개월,6,1 명
168,커피디렉터,커피디렉터,2017-06-17,3년4개월,5,1 명
169,카페다빈치,(주)다빈치,2006-09-29,14년1개월,5,33 명
170,애니데이,애니데이,2013-07-05,7년3개월,5,1 명
171,에이쓰리바우트 커피(A3bout coffee),(주)에이쓰리바우트커피,2017-01-13,3년9개월,5,10 명
172,드립앤더치,연두커피인터내셔날(주),2012-03-15,8년7개월,5,10 명
173,"지브릭커피(G,BRICK COFFEE)",(주)디자인포비,2014-01-02,6년9개월,5,4 명
174,마린커피,마린커피로스터스,2017-07-21,3년3개월,5,1 명
175,컬러인커피,재영홀딩스,2018-12-01,1년10개월,5,1 명
176,레이지모닝,레이지모닝,2017-07-02,3년3개월,5,8 명
177,제퍼커피(ZEPHYR COFFEE),(주)티엠홀딩스,2012-07-06,8년3개월,5,8 명
178,더바움(The BAUM),(주)더바움코리아,2018-05-01,2년5개월,5,11 명
179,아멜라떼,(주)커피집,2017-01-15,3년9개월,4,5 명
180,곰미커피,곰미커피,2016-04-15,4년6개월,4,1 명
181,카페드림,(주)더드림홀딩스,2010-06-01,10년4개월,4,60 명
182,카페프런치,프런치코리아,2013-04-15,7년6개월,4,2 명
183,데일리오아시스,데일리오아시스,2015-11-25,4년11개월,4,5 명
184,일커피(iL COFFEE),일커피(주),2018-05-03,2년5개월,4,3 명
185,카페까마르도,(주)파인피엠아이,2008-01-29,12년9개월,4,5 명
186,커피인코나,(주)푸디아,2008-01-15,12년9개월,4,7 명
187,카카듀,(주)우드앤우즈,2017-12-29,2년10개월,4,11 명
188,카페인버스,인버스에프앤비(주),2015-01-05,5년9개월,4,9 명
189,딜라잇식스(DELIGHT6),(주)딜라잇코리아,2016-06-21,4년4개월,4,4 명
190,띵크커피,(주)띵크커피코리아,2013-04-01,7년6개월,4,35 명
191,연운당,(주)남쪽나라,2017-02-22,3년8개월,4,7 명
192,핵커피,(주)핵가족,2015-08-27,5년2개월,4,24 명
193,제이엠커피(JM COFFEE),제이엠커피로스터스,--,0년0개월,4,22 명
194,카페텀블러,(주)청담페스틴팩토리,2018-08-23,2년2개월,3,12 명
195,커피펍스,(주)도남에프앤에프,2015-11-26,4년11개월,3,5 명
196,세가프레도,(주)티앤피아이코리아,2017-06-01,3년4개월,3,37 명
197,비라티오(B. ratio),비라티오컴퍼니,2016-07-01,4년3개월,3,17 명
198,카페데플뢰르,(주)케이제이씨앤씨,2015-05-17,5년5개월,3,3 명
199,코페아커피,(주)위너에프앤비,2018-03-08,2년7개월,3,0 명
200,SIS리테일,(주)에스아이에스리테일,2018-04-11,2년6개월,3,8 명
201,잇.(EAT.),(주)이에이티,2011-05-01,9년5개월,3,16 명
202,티톡(teatalk),리엔호이스,2014-03-12,6년7개월,3,3 명
203,카페라미떼(cafe LAMITTE),정명F/B,2014-07-10,6년3개월,3,1 명
204,더츠커피,(주)더츠굿,2012-04-13,8년6개월,3,15 명
205,티블랙(TEA BLACK),(주)강남사람들,2016-06-01,4년4개월,3,2 명
